criterion,level,level_description,score
Qualitat Markdown,1,Markdown ben estructurat i clar sense errors de format,2
Qualitat Markdown,2,Markdown correcte amb alguns errors menors,1
Qualitat Markdown,3,Markdown poc clar o amb errors importants,0

Qualitat figures,1,Figures clares ben etiquetades i amb resolucio adequada,2
Qualitat figures,2,Figures utilitzables pero amb problemes menors,1
Qualitat figures,3,Figures poc clares o inadequades,0

Correccio cientifica,1,Contingut rigoros amb explicacions coherents i correctes,2
Correccio cientifica,2,Contingut generalment correcte amb imprecisions,1
Correccio cientifica,3,Contingut amb errors conceptuals greus,0

Reproductibilitat,1,Analisi totalment reproduible amb passos i eines ben descrits,2
Reproductibilitat,2,Reproduccio parcial possible pero amb informacio faltant,1
Reproductibilitat,3,Analisi no reproduible per manca de detalls,0

Integracio web,1,Material facilment integrable amb format coherent i enllacos correctes,2
Integracio web,2,Material integrable amb ajustos menors,1
Integracio web,3,Material que requereix reestructuracio important,0
